,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
1063,KOLYMA LOGISTICS PRIVATE LIMITED,U74999DL2018PTC330740,RoC-Delhi,12/03/2018,793Gali No.15 Shahid Bhagat Singh Colony Karawal Nagar DELHI North East DL 110094 IN,₹ 1000000,₹ 750000,,,Active
1064,J.M.INFRANET PRIVATE LIMITED,U74220RJ2011PTC035854,RoC-Jaipur,14/07/2011,D-829 BEHIND FORTIS HOSPITAL MALVIYA NAGAR JAIPUR RJ 302017 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
1065,KUKREJA ASSOCIATES PRIVATE LIMITED,U74899DL1994PTC058075,RoC-Delhi,25/03/1994,"13 - E, KAMLA NAGAR NEW DELHI Delhi INDIA",₹ 500000,₹ 102000,,,STRIKE OFF
1066,MAGNIFICENT SHEET METAL PRIVATE LIMITED,U29309TN1997PTC037553,RoC-Chennai,19/02/1997,"N BLOCKNO,332=A, EAST ANNA NAGAR CHENNAI-600 102 CHENNAI-600 102 Tamil Nadu INDIA",₹ 500000,₹ 3000,,,STRIKE OFF
1067,ENCANTO FASHIONS PRIVATE LIMITED,U29299MH1996PTC101812,RoC-Mumbai,13/08/1996,"412-A WING, VASHI PLAZA, SECTOR-17, SECOND FLOOR, VASHI NAVI MUMBAI Maharashtra INDIA 400705",₹ 1500000,₹ 325000,,,ACTIVE
1068,ALTHEA SERVICES PRIVATE LIMITED,U74900MH2010PTC204665,RoC-Mumbai,22/06/2010,Gala No 10 Suyog Samuha C.H.S Plot 41 to 44 Sec-08 Sanpada Navi Mumbai Mumbai City MH 400705 IN,₹ 500000,₹ 100000,30/09/2015,31/03/2015,Active
1069,C P TECH ENGINEERING PRIVATE LIMITED,U29294MH2005PTC153509,RoC-Mumbai,25/05/2005,GANGOTRI 328/8 OPP REWALETALAO NEAR BALKUM FIRE STATION KAPURBAVDI THANE Maharashtra INDIA 400607,₹ 5000000,₹ 4100000,,,ACTIVE
1070,EPC MANAGEMENT SERVICES PRIVATE LIMITED,U74900MH2010PTC204822,RoC-Mumbai,24/06/2010,5025TH FLOOR MORYA CLASSIC OFF NEW LINK ROAD OPP. INFINITY MALL OSHIWARA ANDHERI WEST MUMBAI MH 400053 IN,₹ 500000,₹ 100000,30/09/2017,31/03/2017,Active
1071,BANKA ELECTRICALS (INDIA) PVT LTD,U31101WB1986PTC041489,RoC-Kolkata,11/11/1986,5 MADAN CHATTERJEE LANE KOLKATA West Bengal INDIA 700007,₹ 500000,₹ 200000,,,STRIKE OFF
1072,INTEGRATED MOTORS AND PUMPS PRIVATE LIMITED,U29268MH2009PTC193965,RoC-Mumbai,10/07/2009,219 RAJA INDUSTRIAL ESTATE P.K.ROAD MULUND (WEST) MUMBAI MUMBAI Mumbai City MH 400080 IN,₹ 500000,₹ 100000,,,Strike Off
1073,TECHICON ENGINEERS PRIVATE LIMITED,U29253PN2013PTC146583,RoC-Pune,13/03/2013,S.NO.250 SUKHWANI BLISS FL-B-301 LINK ROAD CHINCHWAD PUNE Pune MH 411033 IN,₹ 100000,₹ 100000,,,Strike Off
1074,ABSOLUTE FILTER SOLUTIONS PRIVATE LIMITED,U29253PN2013PTC145881,RoC-Pune,04/01/2013,H1078 Shop No. 4 Shukrawar Peth Tilak Road Pune Pune MH 411030 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
1075,UBE WELDPRODUCTS LIMITED,U31909TG2006PLC050993,RoC-Hyderabad,28/08/2006,UBE Estates Nemari Gomla Village BIBI NAGAR MANDAL TG 508216 IN,₹ 800000,₹ 530000,29/09/2015,31/03/2015,Active
1076,PAYD SOFTWARE SOLUTIONS PRIVATE LIMITED,U74140KL2013PTC033623,RoC-Ernakulam,25/03/2013,Puthiyavalappu - Kottachery KMC - 2/1419 (1/1898)Kanhangad P.O Kasaragod Kasargod KL 671315 IN,₹ 100000,₹ 100000,,,Active
1077,ARUVI ENTERPRISES PRIVATE LIMITED,U29253TN2011PTC081903,RoC-Chennai,12/08/2011,"No.3B, KPR Bhagyam Gardens Valluvar Salai, Ramapuram Chennai Tamil Nadu INDIA 600089",₹ 1000000,₹ 100000,,,ACTIVE
1078,INDERPRASTHA MACHINE TOOLS PRIVATE LIMITED,U29299DL1981PTC011826,RoC-Delhi,05/06/1981,"H-8, CONNAUGHT CIRCUS, NEWDELHI Delhi INDIA",₹ 82500000,₹ 80380000,,,ACTIVE
1079,SHREE SHYLA CONNECTORS PRIVATE LIMITED,U31909KA1971PTC002093,RoC-Bangalore,09/09/1971,"SHREESHYLA, KANAKPURA RD.,BANGALORE - 62. BANGALORE Karnataka INDIA 560062",₹ 500000,₹ 1000,,,STRIKE OFF
1080,OSR ENTERPRISES PRIVATE LIMITED,U74999DL2017PTC322245,RoC-Delhi,17/08/2017,KH.NO. 277 GF PRAHALAD VIHAR COLONY STREET NO-4 BLOCK-D PRAHLADPUR BANGAR DELHI New Delhi DL 110042 IN,₹ 100000,₹ 100000,,,Active
1081,OMART TECHNOLOGIES PRIVATE LIMITED,U29294MH2004PTC148957,RoC-Mumbai,04/10/2004,B-107 VAIBHAV INDUSTRIALPREMISES OPP OXFORD CHAMBERS SAKIVIHAR RD SAKINAKA ANDHERI MUMBAI Maharashtra INDIA 400072,₹ 100000,₹ 100000,,,ACTIVE
1082,DIA FOREX PRIVATE LIMITED,U93000KA2015PTC078519,RoC-Bangalore,27/01/2015,NO 35/1 HOSPITAL ROAD BANGALORE Bangalore KA 560053 IN,₹ 3500000,₹ 2500000,,,Active
1083,OCEAN TEAM FLUSHTECH INDIA PRIVATE LIMITED,U29253TG2013PTC086440,RoC-Hyderabad,18/03/2013,H.No.10-5-2/3/3/1 2ND FLOOR AXIS BANK BUILDING MASAB TANK HYDERABAD Hyderabad TG 500034 IN,₹ 200000,₹ 100000,,,Strike Off
1084,HYDERABAD MACHINECRAFT PRIVATE LIMITED,U29253TG2009PTC063454,RoC-Hyderabad,27/04/2009,SHOP NO11 RATNALOK COMPLEX FEELKHANA HYDERABAD Hyderabad TG 500012 IN,₹ 100000,₹ 100000,,,Strike Off
1085,PUZZOLANA LIMITED,U29253TG2012PLC079750,RoC-Hyderabad,14/03/2012,8-2-596 IV FLOOR IVRCL TOWERS BANJARA HILLS HYDERBAD TG 500034 IN,₹ 1000000,₹ 500000,29/09/2017,31/03/2017,Active
1086,ANIMESH ENGINEERING AND CONSTRUCTION PVT.LTD.,U29259GJ1991PTC015325,RoC-Ahmedabad,01/04/1991,"PLOT NO. 200, DIST. SHOPPINGCENTRE, SEC. NO. 21, GANDHINAGAR. Gujarat INDIA",₹ 500000,₹,,,STRIKE OFF
1087,FILLRITE PACKAGING PRIVATE LIMITED,U29253TG2012PTC080155,RoC-Hyderabad,04/04/2012,H.NO.5-3-10/16 ANNAPURNA COLONY BODUPPAL HYDERABAD TG 500092 IN,₹ 100000,₹ 100000,,,Strike Off
1088,A.TOUCH SYSTEMS PRIVATE LIMITED,U31401DL1991PTC043271,RoC-Delhi,26/02/1991,"D-1/24, JANAKPURI, NEW DELHI Delhi INDIA",₹ 500000,₹ 10000,,,STRIKE OFF
1089,GREENIXVIEW CLUB PRIVATE LIMITED,U74999WB2012PTC181417,RoC-Kolkata,07/05/2012,1 CHANDRA NATH ROY ROAD NEAR BARTALA MANDIR KOLKATA Kolkata WB 700039 IN,₹ 100000,₹ 100000,,,Strike Off
1090,GAUTAM REFINERY PRIVATE LIMITED,U74900DL1986PTC023734,RoC-Delhi,25/03/1986,"381, SFS SHEIKH SARAI NEW DELHI Delhi INDIA",₹ 1000000,₹ 20,,,DORMANT
1091,TYCE ELEVATORS (INDIA) PRIVATE LIMITED,U74999KA2017PTC101268,RoC-Bangalore,10/03/2017,No.22/11Millers Road V CrossBenson Town Bangalore Bangalore KA 560046 IN,₹ 1000000,₹ 100000,,,Active
1092,DELTA WEARTECH ENGINEERS PRIVATE LIMITED,U29253TN2009PTC070865,RoC-Chennai,02/03/2009,NO.11 BALARAMAN STREET KRISHNANAGAR INDL AREA ALAPAKKAM MAIN ROADMADURAVOYAL CHENNAI TN 600095 IN,₹ 30000000,₹ 30000000,30/09/2017,31/03/2017,Active
1093,FUTURA TUBES PRIVATE LIMITED,U28990TN2009PTC073464,RoC-Chennai,09/11/2009,27B MOOKAR NALLAMUTHU STREET CHENNAI TN 600001 IN,₹ 50000000,₹ 200000,29/09/2017,31/03/2017,Active
1094,SADANAND HOME APPLIANCES PRIVATE LIMITED,U29301PN2002PTC017126,RoC-Pune,05/07/2002,GALA NO 485 GAT NO 1305VADKI PUNE - SATARA ROAD PUNE Maharashtra INDIA,₹ 500000,₹ 100000,,,UNDER PROCESS OF STRIKING OFF
1095,RUCHI LEASING AND FINANCE PRIVATE LIMITED,U74899DL1993PTC052991,RoC-Delhi,08/04/1993,"403 IST FLOOR, FARSH BAZAR SHAHDARA DELHI Delhi INDIA 110032",₹ 3000000,₹ 2947000,,,ACTIVE
1096,URSUS CONSULTANCY SERVICES PRIVATE LIMITED,U74140DL2011PTC217711,RoC-Delhi,18/04/2011,15/1 Asaf Ali Road Delhi Central Delhi DL 110002 IN,₹ 300000,₹ 100000,,,Strike Off
1097,IMPEL AUDIOTRONIX PRIVATE LIMITED,U32300DL2013PTC262642,RoC-Delhi,23/12/2013,FLAT NO.8B 8TH FLOOR DIWAN SHREE BUILDING 30 FEROZESHAH ROAD NEW DELHI Central Delhi DL 110001 IN,₹ 500000,₹ 500000,29/09/2017,31/03/2017,Active
1098,TRC SECURITIES PRIVATE LIMITED,U74899DL1994PTC063274,RoC-Delhi,07/12/1994,"Suit 11A Govind Manson, Indra Palace, H-Block, Connnaught Place NEW DELHI Delhi INDIA 110001",₹ 15000000,₹ 12860200,,,ACTIVE
1099,SREELORVEN TECHNOLOGY PRIVATE LIMITED,U74999KA2017PTC101314,RoC-Bangalore,14/03/2017,No. 71/2 Hanumanthappa Lane Jaraganahalli J P Nagar Post Bangalore Bangalore KA 560078 IN,₹ 1000000,₹ 252000,,,Active
1100,ACCPRE ENGINEERING PRIVATE LIMITED,U29253TG2011PTC072728,RoC-Hyderabad,18/02/2011,8-2-601/B/22 ROAD NO 10 BANJARA HILLS HYDERABAD TG 500034 IN,₹ 500000,₹ 500000,21/09/2016,31/03/2016,Active
1101,FINEDGE INDIA PRIVATE LIMITED,U74899DL1995PTC072549,RoC-Delhi,19/09/1995,F-8/14 vasant vihar new delhi Delhi INDIA 110057,₹ 500000,₹ 500000,,,ACTIVE
1102,ESTEEM ENVIRO ENGINEERING CONSULTANT SERVICES INDIA PRIVATE LIMITED,U29299TZ2012PTC018776,RoC-Coimbatore,21/09/2012,4/ 3-A DHARAPURAM ROAD SIVASAKTHI COLONY UDUMALPET Coimbatore TN 642126 IN,₹ 600000,₹ 600000,31/12/2013,30/09/2013,Active
1103,SUPER STARLINE AUTOMOBILES PRIVATE LIMITED,U74899DL1994PTC063292,RoC-Delhi,08/12/1994,M-64 SAKET NEW DELHI Delhi INDIA 110017,₹ 5000000,₹ 2000,,,STRIKE OFF
1104,DELHI X-RAY LAB PRIVATE LIMITED,U74900DL1986PTC023704,RoC-Delhi,21/03/1986,BE -345 HARI NAGAR NEW DELHI Delhi INDIA 110066,₹ 100000,₹ 2000,,,DORMANT
1105,JORSS BULLION PRIVATE LIMITED,U45202GJ2008PTC052991,RoC-Ahmedabad,20/02/2008,206 JANKI CHAMBER 2nd FLOOR MAHURAT POLE MANEKCHOWK AHMEDABAD Ahmedabad GJ 380001 IN,₹ 10000000,₹ 8701100,30/09/2016,31/03/2016,Active
1106,SRR TECHCRAFTS INDIA PRIVATE LIMITED,U29253TG2012PTC081363,RoC-Hyderabad,07/06/2012,2nd FLOOR#303A MLA COLONY ROAD NO12 BANJARA HILLS HYDERABAD TG 500034 IN,₹ 500000,₹ 101000,30/09/2016,31/03/2016,Active
1107,SHEER ESSENCE LIFESTYLE PRODUCTS PRIVATE LIMITED,U74999DL2017PTC322277,RoC-Delhi,17/08/2017,C-56 S/F NEW MULTAN NAGAR NEW DELHI New Delhi DL 110056 IN,₹ 100000,₹ 100000,31/12/2020,31/03/2020,Active
1108,ADYA NIKET PRIVATE LIMITED,U45400WB2007PTC115012,RoC-Kolkata,04/04/2007,74 LENIN SARANI KOLKATA WB 700013 IN,₹ 1000000,₹ 100000,29/09/2017,31/03/2017,Active
1109,CBM PRIMETECH FACILITIES MANAGEMENT PRIVATE LIMITED,U74900KA2011PTC060272,RoC-Bangalore,06/09/2011,S- 10 SPICE GARDEN COMPOUND SILVER SPRING LAYOUT VARTHUR HAL MAIN ROAD BANGALORE KA 560037 IN,₹ 20000000,₹ 20000000,30/09/2015,31/03/2015,Active
1110,SHREGA SERVICES PRIVATE LIMITED,U74140DL1984PTC018744,RoC-Delhi,20/07/1984,"A-416, DEFENCE COLONY NEWDELHI Delhi INDIA",₹ 500000,₹ 300,,,STRIKE OFF
1111,AURAKLE AUDIO VISUALS PRIVATE LIMITED,U32100GA2012PTC007030,RoC-Goa,24/08/2012,FLAT No-104 BLOCK-DDEVASHRI GARDENSFIRST FLOOR NEAR CORPORATION BANK PORVORIMSOCORRO BARDEZ GOA North Goa GA 403501 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
1112,NQ ADVISORY AND CONSULTING PRIVATE LIMITED,U74900MH2010PTC204852,RoC-Mumbai,25/06/2010,10 THAKUR NIWAS LEVEL 2 173 J. TATA ROADCHURCHGATE MUMBAI Mumbai City MH 400020 IN,₹ 100000,₹ 100000,,,Strike Off
1113,TRUE NORTH CORPORATE PRIVATE LIMITED,U74140MH2006PTC164125,RoC-Mumbai,28/08/2006,Suite F9C Grand Hyatt Plaza Santacruz (East) Mumbai MH 400055 IN,₹ 20000000,₹ 9880000,30/09/2017,31/03/2017,Active
1114,MODERN FLEXI PACKAGING SYSTEM PRIVATE LIMITED,U29253WB2011PTC157042,RoC-Kolkata,12/01/2011,3A GARSTIN PLACE 7TH FLOOR KOLKATA WB 700001 IN,₹ 1000000,₹ 100000,20/09/2017,31/03/2017,Active
1115,C&B ECOGEN PRIVATE LIMITED,U29253WB2011PTC171101,RoC-Kolkata,23/12/2011,454 SREERAMPUR ROAD EAST ARANYAK III FLATNO. A2 2ND FLOOR KOLKATA WB 700084 IN,₹ 1000000,₹ 406200,26/09/2016,31/03/2016,Active
1116,EFT TECH SOLUTIONS PRIVATE LIMITED,U30006TN1996PTC035152,RoC-Chennai,10/04/1996,"11(B/148)10TH AVENUE,ASHOK NAGAR, MADRAS:83 MADRAS:83 Tamil Nadu INDIA",₹ 500000,₹,,,STRIKE OFF
1117,WEBER CONSTRUCTION EQUIPMENT PRIVATE LIMITED,U29248GJ2009PTC057169,RoC-Ahmedabad,04/06/2009,J-16 NANDANVAN TOWER - 4 OPP. AANGAN PARTY PLOT JODHPUR ROAD SATELLITE AHMEDABAD GJ 380015 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
1118,FACTION COMMUNICATION PRIVATE LIMITED,U74140DL2011PTC217793,RoC-Delhi,19/04/2011,24 DHARAM COLONY MAIN ROHTAK ROAD NANGLOI NEW DELHI DL 110041 IN,₹ 5000000,₹ 5000000,29/09/2017,31/03/2017,Active
1119,CSR ENVIRONMENTAL ENGINEERING CONSULTANTS PRIVATE LIMITED,U29253TG2011PTC077576,RoC-Hyderabad,22/11/2011,FLAT NO.303 VIJAYA DURGA RESIDENCY PLOT NO.38/39 SIDDHARTHA NAGAR YOUSUF GUDA HYDERABAD TG 500045 IN,₹ 100000,₹ 100000,30/09/2013,31/03/2013,Strike Off
1120,DURAWELD FLUXES PRIVATE LIMITED,U29290MH1975PTC018502,RoC-Mumbai,25/08/1975,"FLAT NO. 703, EXCEL RESIDENY, SECTOR 7, AIROLI NAVI MUMBAI THANE Maharashtra INDIA 400703",₹ 500000,₹ 450000,,,ACTIVE
1121,KINSLEY SOLAR INFRA PRIVATE LIMITED,U74999DL2017PTC322254,RoC-Delhi,17/08/2017,241 First Floor Flat 1 Westend Marg Saket South Delhi DL 110030 IN,₹ 100000,₹ 100000,,,Active
1122,SINDON ELECTRONICS PRIVATE LIMITED,U31909TG2006PTC050844,RoC-Hyderabad,09/08/2006,2-2-6/2 SAI CHANDRA APARTMENTS O.U. ROAD VIDHYANAGAR HYDERABAD Hyderabad TG 500044 IN,₹ 100000,₹ 0,,,Strike Off
1123,BODHICREW SERVICES PRIVATE LIMITED,U74140DL2011PTC217977,RoC-Delhi,21/04/2011,145B/9 3rd Floor Kishan Garh Near Akhara Vasant Kunj New Delhi DL 110070 IN,₹ 500000,₹ 244070,29/09/2017,31/03/2017,Active
1124,AG MANPOWER SOLUTIONS PRIVATE LIMITED,U74140DL2011PTC217747,RoC-Delhi,18/04/2011,T2591/1A GALI NO. 21A VISHWA KARMA MARG BALJEET NAGAR NEW DELHI DL 110008 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
1125,ABHISHEK SERVICES PRIVATE LIMITED,U74140DL1984PTC018930,RoC-Delhi,08/08/1984,"4, RAM DURG BUILDING,JAWAHAR NAGAR DELHI Delhi INDIA",₹ 100000,₹ 200,,,STRIKE OFF
1126,ATHENA INFOTECH LIMITED,U30009KA1995PLC017193,RoC-Bangalore,15/02/1995,"215, I MAIN,60 FT. ROAD, SHIVANAGAR, BANGALORE Karnataka INDIA 560010",₹ 200000,₹ 100000,,,DORMANT
1127,KALSON INTERNATIONAL PRIVATE LIMITED,U29299DL1982PTC014032,RoC-Delhi,14/07/1982,"C - 45, RAJOURI GARDEN NEW DELHI Delhi INDIA 110027",₹ 500000,₹ 1500,,,DORMANT
1128,FAXON IMAGING TECHNOLOGIES LIMITED,U30007MH2004PLC140879,RoC-Mumbai,25/11/2004,EL-217 MIDCTTC INDUSRIAL AREA ELECTRONIC ZONE MAHAPE NAVI MUMBAI Maharashtra INDIA 400709,₹ 2500000,₹ 2500000,,,ACTIVE
1129,DURO METALGRIP PRIVATE LIMITED,U29253WB2011PTC166908,RoC-Kolkata,29/08/2011,LAKSHMANPUR INDUSTRIAL AREA P.O TENTULKULI DOMJUR HOWRAH WB 711409 IN,₹ 6000000,₹ 5700000,26/09/2017,31/03/2017,Active
1130,MARS SOFTWARE SOLUTION PRIVATE LIMITED,U30009JH2007PTC012824,RoC-Jharkhand,28/05/2007,NAMKUM BAZAR NAMKUM RANCHI JH 834010 IN,₹ 500000,₹ 200000,28/09/2012,31/03/2012,Under Process of Striking Off
1131,PRUSHIN FINTECH PRIVATE LIMITED,U29290MH1968PTC014014,RoC-Mumbai,13/05/1968,"56-E,KESHAVRAO KHADYE MARG, JACOB CIRCLE, MUMBAI Maharashtra INDIA 400011",₹ 400000,₹ 300000,,,ACTIVE
1132,MRS BUSINESS CONSULTING PRIVATE LIMITED,U74120UP2011PTC047432,RoC-Kanpur,15/11/2011,G423 GULMOHAR ESTATE POCKET C SECTOR PI GREATER NOIDA Gautam Buddha Nagar UP 201308 IN,₹ 200000,₹ 100000,30/09/2016,31/03/2016,Active
1133,WEBTECH AUTO ENGINEERING PRIVATE LIMITED,U29294RJ2008PTC027529,RoC-Jaipur,08/10/2008,"10-F-22, PARIJAT YOJANA MAHAVEER NAGAR - III KOTA Rajasthan INDIA 324006",₹ 8000000,₹ 6000000,,,ACTIVE
1134,VAS AGRI PRIVATE LIMITED,U74999DL2014PTC266799,RoC-Delhi,24/03/2014,FLAT NO UG-2-HNO-6/71 UPEER GROUND PUNJABI BAGH NEW DELHI West Delhi DL 110026 IN,₹ 2000000,₹ 1361660,30/09/2016,31/03/2016,Active
1135,DEVENDRA ENGINECRAFT PRIVATE LIMITED,U29253TN2007PTC064037,RoC-Chennai,20/06/2007,6/13 VELAYUDHAM STREET NUNGAMBAKKAM CHENNAI Chennai TN 600034 IN,₹ 1000000,₹ 100000,30/09/2017,31/03/2017,Active
1136,RAJMATA DIESEL PVT LTD,U31101WB1991PTC050933,RoC-Kolkata,21/02/1991,15 D L ROY STREET KOLKATA West Bengal INDIA 700006,₹ 500000,₹ 200000,,,STRIKE OFF
1137,EM LIFESTYLE AND COMMUNICATIONS LIMITED,U74140DL2007PLC171497,RoC-Delhi,17/12/2007,16 BHAI VIR SINGH MRG NEW DELHI New Delhi DL 110001 IN,₹ 500000,₹ 0,,,Strike Off
1138,COUNTRY HOME FASHIONS PRIVATE LIMITED,U18204DL2007PTC164318,RoC-Delhi,04/06/2007,E 47/1 Second Floor Okhla Industrial Area Phase II New Delhi South Delhi DL 110020 IN,₹ 10000000,₹ 8442650,30/09/2017,31/03/2017,Active
1139,MAGGORBIS RESEARCH AND DEVELOPERS PRIVATE LIMITED,U74999MH2017PTC300110,RoC-Mumbai,26/09/2017,H. NO. 85 ANJANGAON ANJANGAON Amravati MH 444705 IN,₹ 1000000,₹ 200000,,,Active
1140,SHIVAN IMPEX PRIVATE LIMITED,U51109MH2008PTC185588,RoC-Mumbai,07/08/2008,SALASAR SHAKTI b-405VENKATES PARK FATAK ROAD BHAYANDER-WEST THANE Mumbai City MH 401101 IN,₹ 100000,₹ 0,,,Strike Off
1141,UPPERSTAR NIRMAN PRIVATE LIMITED,U70109WB2012PTC183172,RoC-Kolkata,26/06/2012,11 CROOKED LANE GROUND FLOOR KOLKATA WB 700069 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
1142,SARAF INVESTIGATORS PRIVATE LIMITED.,U74140JK1989PTC001161,RoC-Jammu,28/11/1989,NEAR GOVT. TRANSPORT YARDANANTNAG KASHMIR JAMMU AND KASHMIR JAMMU AND KASHMIR Jammu and Kashmir INDIA,₹ 100000,₹ 100000,,,DORMANT
1143,CHAUDHARI EQUIPMENTS PRIVATE LIMITED,U29253PN2011PTC139613,RoC-Pune,20/05/2011,LAXMI SOCIETY OPP. AMBIKA NURSERY AKURDI CHIKHALI ROADCHIKHALIGATNO1307TAL HAVELI PUNE MH 412114 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
1144,AARMS INFOLINE LIMITED,U74899DL2000PLC106670,RoC-Delhi,07/07/2000,60 GROUND FLOOR MANDAKANIGREATER KAILASH-IV N R I COMPLEX NEW DELHI Delhi INDIA 110048,₹ 1000000,₹ 800000,,,STRIKE OFF
1145,MAVERICK DESIGN PRIVATE LIMITED,U74140DL2011PTC217690,RoC-Delhi,18/04/2011,13 / 36 GHAFFAR MANZIL OKHLA NEW DELHI New Delhi DL 110025 IN,₹ 100000,₹ 100000,29/09/2012,31/03/2012,Strike Off
1146,GLOBAL CONVEYOR TECHNOLOGIES PRIVATE LIMITED,U29253TG2010PTC069584,RoC-Hyderabad,21/07/2010,Plot No.121/MIG-II (New No.61/MIG - II) A.P.H.B. Colony Chintal Quthbullapur Mandal Hyderabad Hyderabad TG 500037 IN,₹ 10000000,₹ 6850000,30/09/2017,31/03/2017,Active
1147,SHIVA ADVISORY SERVICES PRIVATE LIMITED,U74140WB1998PTC087300,RoC-Kolkata,09/06/1998,3 BRITISH INDIAN STREET1ST FLOOR HARE STREET KOLKATA West Bengal INDIA 700069,₹ 1500000,₹ 1312000,,,ACTIVE
1148,ROCKERZ AGE MUSIC PRIVATE LIMITED,U74900KA2011PTC060313,RoC-Bangalore,08/09/2011,NO.5 3RD FLOOR 1ST MAIN 1ST A CROSS VIVEKANANDA NAGAR BANASHANKARI 3RD STAGE BANGALORE Bangalore KA 560085 IN,₹ 100000,₹ 100000,,,Strike Off
1149,MONMOHAN INFRATECH PRIVATE LIMITED,U29253WB2011PTC170206,RoC-Kolkata,01/12/2011,ROOM NO.12 1ST FLOOR SHANTINEKTAN 8 CAMAC STREET KOLKATA WB 700017 IN,₹ 500000,₹ 200000,29/09/2017,31/03/2017,Active
1150,K.B. SECURITY AND MANAGEMENT SERVICES PRIVATE LIMITED,U74899DL2005PTC143660,RoC-Delhi,14/12/2005,"C-229, G.K. -I, NEW DELHI Delhi INDIA 110049",₹ 500000,₹ 100000,,,STRIKE OFF
1151,GABRIEL ECOTHERM PRIVATE LIMITED,U29253PN2015PTC157696,RoC-Pune,28/12/2015,305 3rd Floor Building No 2 Commerzone S No 144 &amp; 145 Samrat Ashoka Path Airport Road Yerwada Pune Pune MH 411006 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
1152,W J ALCOCK & CO PVT LTD,U29299WB1947PTC015199,RoC-Kolkata,02/04/1947,7 K S ROY RD KOLKATA West Bengal INDIA 700001,₹ 500000,₹ 500000,,,ACTIVE
1153,SPT SWITCHGEAR PRIVATE LIMITED,U31909HR2010PTC040707,RoC-Delhi,16/06/2010,F-18/3C SARAI INDUSTRIAL AREA SECTOR-38 FARIDABAD HR 121003 IN,₹ 1500000,₹ 100000,30/09/2015,31/03/2015,Under Process of Striking Off
1154,RAJ MECHATRONIX PRIVATE LIMITED,U29299PN2005PTC020990,RoC-Pune,08/07/2005,S.NO. 22 VADGAON SHERI PUNE Maharashtra INDIA 411004,₹ 33500000,₹ 33500000,,,ACTIVE
1155,PATEL BOLLING RUBBER AND PLASTIC MACHINERY LIMITED,U29290MH1977PLC019680,RoC-Mumbai,31/05/1977,"MEWAR, 40A, PEDDAR ROAD, MUMBAI MUMBAI Maharashtra INDIA 400026",₹ 500000,₹ 70,,,DORMANT
1156,SANJAY C BAXI MANAGEMENT CONSULTANTS PRIVATE LIMITED,U74140MH2006PTC164608,RoC-Mumbai,15/09/2006,SINGH HOUSE 3RD FLOOR 23/25 AMBALAL DOSHI MARG FORT MUMBAI MH 400023 IN,₹ 1000000,₹ 100000,30/09/2017,31/03/2017,Active
1157,SUNSHINE TIE-UP PRIVATE LIMITED,U51909WB2008PTC131615,RoC-Kolkata,31/12/2008,22 Strand Road 2nd floor kolkata Kolkata WB 700001 IN,₹ 10000000,₹ 7250400,29/09/2017,31/03/2017,Active
1158,SCHWEISSEN METAL INDUSTRIES PRIVATE LIMITED,U27109GJ2010PTC059288,RoC-Ahmedabad,22/01/2010,PLOT NO. 4587 &quot;S&quot; ROAD G.I.D.C. PHASE III DARED JAMNAGAR GJ 361004 IN,₹ 500000,₹ 150000,24/07/2017,31/03/2017,Active
1159,FIORE EVENTS AND WEDDINGS PRIVATE LIMITED,U74999DL2018PTC335782,RoC-Delhi,26/06/2018,"Plot No 6 ,Lane No 4,Flat No-15 SF South West Side, Anupam Enclave II NEW DELHI South West Delhi DL 110030 IN",₹ 100000,₹ 100000,31/12/2020,31/03/2020,Active
1160,KARAKATOA SALES PRIVATE LIMITED,U74999UP2017PTC098964,RoC-Kanpur,29/11/2017,C/O DHARMENDRA KUMAR VILLAGE CHILORA MEERUT Meerut UP 250002 IN,₹ 1000000,₹ 100000,,,Active
1161,BANANA TREE HOTEL AND BANQUETS PRIVATE LIMITED,U55101DL2014PTC273317,RoC-Delhi,18/11/2014,D-848 Basement New Friends Colony New Delhi New Delhi DL 110025 IN,₹ 100000,₹ 100000,28/09/2016,31/03/2016,Active
1162,MAJESTIC HOLDING PRIVATE LIMITED,U74899DL1993PTC053137,RoC-Delhi,19/04/1993,"9A,SAINIK FARMS, LANE C-3, KHANPUR NEW DELHI Delhi INDIA 110062",₹ 100000000,₹ 35150000,,,ACTIVE
1163,AMEYA PRECISION ENGINEERS PRIVATE LIMITED,U29253PN2012PTC145613,RoC-Pune,06/12/2012,GAT NO.345 KASURDI(KB) PUNE-SATARA HIGHWAY PUNE MH 412205 IN,₹ 10000000,₹ 10000000,30/09/2016,31/03/2016,Active
1164,PIONEER PLASTIC WORKS PVT LTD,U29299WB1948PTC017383,RoC-Kolkata,06/12/1948,"9,EZRA STREET KOLKATA West Bengal INDIA 700001",₹ 5000000,₹ 3000000,,,ACTIVE
